datetime_utc,event,country,impact,certainty,ticker,source_url,notes
2014-01-01T08:00:00+00:00,Eurozone Manufacturing PMI (final) — January 2014,Eurozone,medium,confirmed,PMI_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=Eurozone&series=Manufacturing%20PMI&q=2014%20January,Rule: 1st business day; 08:00 UTC -> local
2014-01-02T09:30:00+00:00,UK PMI — Manufacturing (final) January 2014,UK,medium,confirmed,PMI_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&series=Manufacturing%20PMI&q=2014%20January,Правило: 1-й рабочий день
2014-01-02T15:00:00+00:00,ISM Manufacturing PMI — Report On Business,US,high,confirmed,ISM_MFG,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/rob-report-calendar/,Rule: 1st business day
2014-01-03T08:00:00+00:00,Eurozone Composite PMI (final) — January 2014,Eurozone,medium,confirmed,PMI_COMP,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=Eurozone&series=Composite%20PMI&q=2014%20January,Rule: 3rd business day; 08:00 UTC -> local
2014-01-03T08:00:00+00:00,Eurozone Services PMI (final) — January 2014,Eurozone,medium,confirmed,PMI_SERV,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=Eurozone&series=Services%20PMI&q=2014%20January,Rule: 3rd business day; 08:00 UTC -> local
2014-01-03T09:30:00+00:00,UK PMI — Construction January 2014,UK,medium,confirmed,PMI_CONS,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&series=Construction%20PMI&q=2014%20January,Правило: 2-й рабочий день
2014-01-06T09:30:00+00:00,UK PMI — Composite (final) January 2014,UK,medium,confirmed,PMI_COMP,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&series=Composite%20PMI&q=2014%20January,Совместно с Services
2014-01-06T09:30:00+00:00,UK PMI — Services (final) January 2014,UK,medium,confirmed,PMI_SERV,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&series=Services%20PMI&q=2014%20January,Правило: 3-й рабочий день
2014-01-06T15:00:00+00:00,ISM Services PMI — Report On Business,US,high,confirmed,ISM_SERV,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/rob-report-calendar/,Rule: 3rd business day
2014-01-09T12:00:00+00:00,BoE MPC — решение по ставке,UK,medium,confirmed,BOE_RATE,https://www.bankofengland.co.uk/news/2014/january/mpc-january-2014,Стандартный слот 12:00 London
2014-01-09T12:45:00+00:00,ECB rate decision,Eurozone,high,confirmed,ECB_RATE,https://www.ecb.europa.eu/press/pr/date/2014/html/pr140109.en.html,Standard 13:45 CET/CEST
2014-01-09T13:30:00+00:00,ECB press conference (Introductory statement + Q&A),Eurozone,high,confirmed,ECB_PC,https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/2014/html/is140109.en.html,Standard 14:30 CET/CEST
2014-01-10T13:30:00+00:00,NFP — Employment Situation (пейроллы),US,high,confirmed,NFP,https://www.bls.gov/news.release/archives/empsit_01102014.htm,nan
2014-01-14T13:30:00+00:00,Retail Sales — Advance (MARTS),US,high,confirmed,RETAIL_SALES,https://www2.census.gov/retail/releases/historical/marts/adv1401.pdf,nan
2014-01-15T13:30:00+00:00,"PPI — Индекс цен производителей (м/м, г/г)",US,high,confirmed,PPI,https://www.bls.gov/news.release/archives/ppi_01152014.htm,nan
2014-01-16T13:30:00+00:00,"CPI — Индекс потребительских цен (м/м, г/г)",US,high,confirmed,CPI,https://www.bls.gov/news.release/archives/cpi_01162014.pdf,nan
2014-01-22T08:00:00+00:00,Eurozone Composite PMI (flash) — January 2014,Eurozone,medium,confirmed,PMI_FLASH_COMP,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=Eurozone&series=Composite%20PMI&q=2014%20January,Rule: ~22nd; 08:00 UTC -> local
2014-01-22T08:00:00+00:00,Eurozone Manufacturing PMI (flash) — January 2014,Eurozone,medium,confirmed,PMI_FLASH_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=Eurozone&series=Manufacturing%20PMI&q=2014%20January,Rule: ~22nd; 08:00 UTC -> local
2014-01-22T08:00:00+00:00,Eurozone Services PMI (flash) — January 2014,Eurozone,medium,confirmed,PMI_FLASH_SERV,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=Eurozone&series=Services%20PMI&q=2014%20January,Rule: ~22nd; 08:00 UTC -> local
2014-01-29T19:00:00+00:00,FOMC — Statement (пресс-релиз),US,medium,confirmed,FOMC_STATEMENT,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140129a.htm,nan
2014-01-29T19:00:00+00:00,FOMC — решение по ставке,US,high,confirmed,FOMC_DECISION,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140129a.htm,nan
2014-01-30T13:30:00+00:00,GDP — квартальная оценка (adv/2nd/3rd),US,high,confirmed,GDP,https://www.bea.gov/news/2014/gross-domestic-product-4th-quarter-2013-advance-estimate,nan
2014-01-31T10:00:00+00:00,HICP (flash) — Euro area inflation (estimate) — January 2014,Eurozone,high,confirmed,HICP_FLASH,https://ec.europa.eu/eurostat/en/web/products-euro-indicators/w/2-31012014-ap,Eurostat Euro-indicators 11:00
2014-01-31T10:00:00+00:00,Unemployment rate (Euro area) — January 2014,Eurozone,high,confirmed,UNEMP,https://ec.europa.eu/eurostat/en/web/products-euro-indicators/w/3-31012014-bp,Eurostat Euro-indicators 11:00
2014-01-31T13:30:00+00:00,Personal Income & Outlays (PCE),US,high,confirmed,PCE,https://www.bea.gov/news/2014/personal-income-and-outlays-december-2013,nan
2014-02-03T08:00:00+00:00,Eurozone Manufacturing PMI (final) — February 2014,Eurozone,medium,confirmed,PMI_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=Eurozone&series=Manufacturing%20PMI&q=2014%20February,Rule: 1st business day; 08:00 UTC -> local
2014-02-03T09:30:00+00:00,UK PMI — Manufacturing (final) February 2014,UK,medium,confirmed,PMI_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en&country=United%20Kingdom&series=Manufacturing%20PMI&q=2014%20February,Правило: 1-й рабочий день
2014-02-03T15:00:00+00:00,ISM Manufacturing PMI — Report On Business,US,high,confirmed,ISM_MFG,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/rob-report-calendar/,Rule: 1st business day
