datetime_utc,event,country,impact,certainty,ticker,source_url,notes
2002-01-01T09:00:00+00:00,EA Manufacturing PMI (Final) — January 2002,EA,medium,confirmed,EA:PMI,https://www.pmi.spglobal.com/Public/Release/ReleaseDates?language=en,"Standard PMI schedule: Mfg 1st working day, Services & Composite 3rd working day (10:00 CET/CEST)."
2002-01-01T09:30:00+00:00,UK Manufacturing PMI — January 2002,UK,medium,confirmed,UK:PMI_MFG,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en,Standard schedule: 1st business day at 09:30 local.
2002-01-01T15:00:00+00:00,US ISM Manufacturing PMI — January 2002,US,high,confirmed,US:ISM-MAN,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,Manufacturing: 1st business day @10:00 ET per ISM ROB calendar; date approximated ignoring US holidays.
2002-01-02T09:30:00+00:00,UK Construction PMI — January 2002,UK,medium,confirmed,UK:PMI_CON,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en,Standard schedule: 2nd business day at 09:30 local.
2002-01-03T09:00:00+00:00,EA Composite PMI (Final) — January 2002,EA,medium,confirmed,EA:PMI,https://www.pmi.spglobal.com/Public/Release/ReleaseDates?language=en,"Standard PMI schedule: Mfg 1st working day, Services & Composite 3rd working day (10:00 CET/CEST)."
2002-01-03T09:00:00+00:00,EA Services PMI (Final) — January 2002,EA,medium,confirmed,EA:PMI,https://www.pmi.spglobal.com/Public/Release/ReleaseDates?language=en,"Standard PMI schedule: Mfg 1st working day, Services & Composite 3rd working day (10:00 CET/CEST)."
2002-01-03T09:30:00+00:00,UK Composite PMI — January 2002,UK,medium,confirmed,UK:PMI_CMP,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en,Composite usually released alongside Services; 09:30 local.
2002-01-03T09:30:00+00:00,UK Services PMI — January 2002,UK,medium,confirmed,UK:PMI_SRV,https://www.pmi.spglobal.com/Public/Release/PressReleases?language=en,Standard schedule: 3rd business day at 09:30 local.
2002-01-03T15:00:00+00:00,US ISM Non-Manufacturing PMI — January 2002,US,high,confirmed,US:ISM-SERV,https://www.ismworld.org/supply-management-news-and-reports/reports/rob-report-calendar/,Services (Non-Manufacturing): 3rd business day @10:00 ET per ISM ROB calendar; date approximated ignoring US holidays.
2002-01-04T13:30:00+00:00,US Employment Situation — December 2001,US,high,confirmed,US:NFP,https://www.bls.gov/schedule/2002/home.htm,Official BLS 2002 schedule; standard release time 08:30 ET.
2002-01-10T12:00:00+00:00,BoE Monetary Policy Committee — Bank Rate decision,UK,medium,confirmed,UK:BOE_RATE,https://www.bankofengland.co.uk/monetary-policy,Monthly MPC decision; time ~12:00.
2002-01-10T12:45:00+00:00,ECB Rate Decision (Main refinancing rate),EA,high,confirmed,EA:ECB_RATE,https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/html/index.en.html,Policy meeting; decision time typically 13:45 CET/CEST. Press conf follows at 14:30.
2002-01-10T13:30:00+00:00,ECB Press Conference — Introductory statement & Q&A,EA,high,confirmed,EA:ECB_CONF,https://www.ecb.europa.eu/press/press_conference/monetary-policy-statement/html/index.en.html,Monthly press conference following the policy meeting (no August conference).
